Title,Publisher,Imprint,Publication Year,Editor/ Author,ISBN,Awards,Subject,Description,USD List Price,Single-User Restriction,Title Phase,Predicted Release Quarter,Multi-Site Sales Restricted,Geographic Sales Regions,Corp URL,Edition ID#
Encyclopedia of Christian Theology,Taylor & Francis,Routledge,2004,"Editor: Lacoste, Jean-Yves",978-1-57-958250-0,,Religion & Theology - Christianity,"The Encyclopedia of Christian Theology, provides the reader a critical overview of the main theological questions and related topics, including concepts, events, councils, theologians, philosophers, movements, and more.",$665 ,TRUE,Live,,No Restrictions,No Restrictions,corp.credoreference.com/component/booktracker/edition/12260,12260
Encyclopedia of English Language Bible Versions,McFarland,McFarland,2013,"Taliaferro, Bradford B.",978-0-7864-7121-8,RCL recipient,Religion & Theology - Christianity,"This encyclopedia is the first book to identify, explain and categorize more than 1,400 versions of the English Bible.",$113 ,FALSE,Live,,No Restrictions,No Restrictions,corp.credoreference.com/component/booktracker/edition/9984,9984
Encyclopedia of Protestantism,Taylor & Francis,Routledge,2003,"Editor: Hillerbrand, Hans J.",978-0-415-92472-6,RCL recipient,Religion & Theology - Christianity,"The definitive reference to the history and beliefs that continue to exert a profound influence on Western thought. Featuring entries written by an international team of specialists and scholars, the encyclopedia traces the course of Protestantism from its beginnings prior to 1517, when Martin Luther nailed his 95 Theses to the door of Wittenberg Cathedral, to the vital and diverse international scene of the present day.","$1,065 ",TRUE,Live,,No Restrictions,No Restrictions,corp.credoreference.com/component/booktracker/edition/3238,3238
Preaching the Word: Ephesians: The Mystery of the Body of Christ,Crossway,Crossway,2013,"Hughes, R. Kent",978-1-4335-3626-7,,Religion & Theology - Christianity,"In this helpful volume, Pastor Hughes provides an engaging treatment of the major themes of Ephesians.",$45 ,FALSE,Live,,No Restrictions,No Restrictions,corp.credoreference.com/component/booktracker/edition/8030,8030
ESV Student Study Bible,Crossway,Crossway,2012,Editor: Crossway,978-1-4335-3157-6,(ECPA) Book of the Year Award,Religion & Theology - Christianity,The ESV Student Study Bible is ideally suited for students who are serious about God's Word--who want to learn more about what the Bible teaches and how the Bible applies to all of life.,$82 ,FALSE,Live,,No Restrictions,No Restrictions,corp.credoreference.com/component/booktracker/edition/7769,7769
Evangelical Dictionary of Theology,Baker Publishing Group,Baker Publishing Group,2013,"Elwell, Walter A.",978-0-80-102075-9,,Religion & Theology - Christianity,"A rich resource of theological, biblical, philosophical, historical, and contemporary ethical information and insight",$60 ,TRUE,Live,,No Restrictions,No Restrictions,corp.credoreference.com/component/booktracker/edition/7369,7369
Greenwood Guides to Science and Religion: Evangelicals and Science,ABC-CLIO,Greenwood,2008,"Roberts, Michael",978-0-31333-113-8,,Religion & Theology - Christianity,Essays which cover the relationship between evangelical Christians and science.,$108 ,FALSE,Live,,Sales to Multi-Site Not Permitted,No Restrictions,corp.credoreference.com/component/booktracker/edition/3290,3290
Preaching the Word: Exodus: Saved for God's Glory,Crossway,Crossway,2012,"Ryken, Philip Graham",978-1-4335-3539-0,,Religion & Theology - Christianity,Philip Graham Ryken mines the majestic book of Exodus for knowledge of God's character and instruction for his followers.,$70 ,FALSE,Live,,No Restrictions,No Restrictions,corp.credoreference.com/component/booktracker/edition/8032,8032
Fifteen Key Studies from the Heart of Ephesians,"Kingsley Books, Inc","Kingsley Books, Inc",2012,"Meyer, F.B.",978-0-7554-9847-5,,Religion & Theology - Christianity,"This devotional commentary explores Ephesians fifteen key themes of the inner life, including the Father, living in Christ, love, the Holy Spirit, the power of God, the church, our walk, and the Christians armor.",$23 ,FALSE,Live,,No Restrictions,No Restrictions,corp.credoreference.com/component/booktracker/edition/5974,5974
Preaching the Word: Galatians: Gospel-rooted Living,Crossway,Crossway,2013,"Wilson, Todd A.",978-1-4335-0575-1,,Religion & Theology - Christianity,This book looks beneath the surface of controversy in Galatia to the even more fundamental issue at stake: gospel-rooted living.,$45 ,FALSE,Live,,No Restrictions,No Restrictions,corp.credoreference.com/component/booktracker/edition/8033,8033
Preaching the Word: Genesis: Beginning and Blessing,Crossway,Crossway,2012,"Hughes, R. Kent",978-1-4335-3552-9,,Religion & Theology - Christianity,"For those who preach, teach, and study Gods Word, this exceptionally detailed work will reveal much about the beginnings of Gods great story.",$60 ,FALSE,Live,,No Restrictions,No Restrictions,corp.credoreference.com/component/booktracker/edition/8031,8031
Ancient Christian Texts: Greek Commentaries on Revelation,InterVarsity Press,InterVarsity Press,2011,"Editors: Oecumenius andrew of Caesarea and Weinrich, William C., et.al.",978-0-8308-2908-8,,Religion & Theology - Christianity,William Weinrich renders a particular service to readers interested in ancient commentary on the Apocalypse. He translates in one volume the only two major commentaries on Revelation to come out of the Greek traditionthe early sixth-century commentaries of Oecumenius and Andrew of Caesarea.,$90 ,FALSE,Live,,No Restrictions,No Restrictions,corp.credoreference.com/component/booktracker/edition/8133,8133
Handbook of Women Biblical Interpreters,Baker Publishing Group,Baker Publishing Group,2012,"Taylor, Marion Ann and Choi, Agnes",978-0-80-103356-8,RCL Recipient,Religion & Theology - Christianity,"Introduces foremothers of the faith who address issues of interpretation that continue to be relevant to faith communities today, such as women's roles in the church and synagogue and the idea of religious feminism.",$45 ,TRUE,Live,,No Restrictions,No Restrictions,corp.credoreference.com/component/booktracker/edition/7370,7370
Ancient Christian Texts: Homilies on Numbers,InterVarsity Press,InterVarsity Press,2009,Origen,978-0-8308-2905-7,,Religion & Theology - Christianity,"Origen was one of the most influential pre-Nicene church fathers, whose exegetical method shaped much of subsequent interpretation of the Old Testament. Some of his theological speculations were condemned in the 6th cenutry, but his influence as a Christian scholar and Old Testament exegete remain undiminished. This book offers a fresh, contemporary translation of Origen's 28 homilies on the book of Numbers.",$90 ,FALSE,Live,,No Restrictions,No Restrictions,corp.credoreference.com/component/booktracker/edition/8134,8134
Ancient Christian Texts: Incomplete Commentary on Matthew (Opus imperfectum): Volume 1,InterVarsity Press,InterVarsity Press,2010,"Editors: Kellerman, James A. and Oden, Thomas C.",978-0-8308-2901-9,,Religion & Theology - Christianity,"Despite some gaps in coverage, the Incomplete Commentary on Matthew has long been prized for its early and lengthy exposition of the Gospel of Matthew. Thomas Aquinas noted that he would rather have a complete copy of the Incomplete Commentary on Matthew than to be mayor of Paris. The commentary, which is of sufficient length to require 2 volumes in translation, is offered here for the first time in English translation and is designed for pastors, teachers, students and lay people interested in the early church's interpretation of Matthew's Gospel.",$90 ,FALSE,Live,,No Restrictions,No Restrictions,corp.credoreference.com/component/booktracker/edition/8135,8135
Ancient Christian Texts: Incomplete Commentary on Matthew (Opus imperfectum): Volume 2,InterVarsity Press,InterVarsity Press,2010,"Editors: Kellerman, James A. and Oden, Thomas C.",978-0-8308-2902-6,,Religion & Theology - Christianity,"Despite some gaps in coverage, the Incomplete Commentary on Matthew has long been prized for its early and lengthy exposition of the Gospel of Matthew. Thomas Aquinas noted that he would rather have a complete copy of the Incomplete Commentary on Matthew than to be mayor of Paris. Offered here for the first time in English translation is a wonderful resource designed for pastors, teachers, students and lay people interested in the early church's interpretation of Matthew's Gospel.",$90 ,FALSE,Live,,No Restrictions,No Restrictions,corp.credoreference.com/component/booktracker/edition/8136,8136
"Jesus in History, Legend, Scripture, and Tradition: A World Encyclopedia",ABC-CLIO,ABC-CLIO,2015,"Editor: Houlden, Leslie",978-1-61-069803-0,,Religion & Theology - Christianity,"Entries cover representations of Jesus in the bible and the writings of key theologians, examining the essentials of philosophical and religious views across history. The set also includes hundreds of entries that reflect on the role Jesus has played in popular culture and contemporary vernacular religion-perspectives that are not usually placed alongside theology. Through the encyclopedia, students will see how artists, writers, philosophers, church figures, and others have imagined Jesus and been influenced by their perceptions of him. At the same time, primary documents will encourage students to compare and contrast ideas and evaluate arguments that have arisen over 20 centuries.",$284 ,FALSE,Live,,Sales to Multi-Site Not Permitted,No Restrictions,corp.credoreference.com/component/booktracker/edition/12177,12177
Lives of Great Religious Books: John Calvins Institutes of the Christian Religion: A Biography,Princeton University Press,Princeton University Press,2016,"Gordon, Bruce",978-0-69-115212-7,,Religion & Theology - Christianity,"John Calvin's Institutes of the Christian Religion is a defining book of the Reformation and a pillar of Protestant theology. First published in Latin in 1536 and in Calvin's native French in 1541, the Institutes argues for the majesty of God and for justification by faith alone. Here, Bruce Gordon provides an essential biography of Calvin's influential and enduring theological masterpiece, tracing the diverse ways it has been read and interpreted from Calvin's time to today.",$52 ,FALSE,Live,,No Restrictions,No Restrictions,corp.credoreference.com/component/booktracker/edition/11590,11590
Ancient Christian Texts: Latin Commentaries on Revelation,InterVarsity Press,InterVarsity Press,2011,"Editors: Victorinus of Petovium, Apringius of Beja and Caesarius of Arles, et.al.",978-0-8308-2909-5,RCL Recipient,Religion & Theology - Christianity,"In this volume of the Ancient Christian Texts series, William Weinrich renders a particular service to readers interested in ancient commentary on the Apocalypse by drawing together significant Latin commentaries from Victorinus of Petovium, Caesarius of Arles, Apringius of Beja and Bede the Venerable.",$90 ,FALSE,Live,,No Restrictions,No Restrictions,corp.credoreference.com/component/booktracker/edition/8137,8137
Greenwood Guides to Science and Religion: Liberal Protestantism and Science,ABC-CLIO,Greenwood,2007,"Muray, Leslie A.",978-0-31333-701-7,RCL Recipient,Religion & Theology - Christianity,Essays which address the mainline protestant acceptance of the scientific worldview.,$108 ,FALSE,Live,,Sales to Multi-Site Not Permitted,No Restrictions,corp.credoreference.com/component/booktracker/edition/3293,3293
Mormonism: A Historical Encyclopedia,ABC-CLIO,ABC-CLIO,2010,"Editors: Reeve, W. Paul and Parshall, Ardis E.",978-1-59884-107-7,,Religion & Theology - Christianity,"The encyclopedia begins with an overview of The Church of Jesus Christ of Latter-day Saintssix essays cover the church's history from Joseph Smith's first vision in 1820 to its current global status. This provides a context for subsequent sections of alphabetically organized entries on key events and key figures in Mormon history. A final section looks at important issues such as the church's organization and government, its teachings on family, Mormonism and blacks, Mormonism and women, and Mormonism and Native Americans. Includes biographical sketches, chronology, and bibliography.",$141 ,FALSE,Live,,Sales to Multi-Site Not Permitted,No Restrictions,corp.credoreference.com/component/booktracker/edition/3294,3294
Mormonism: The Basics,Taylor & Francis,Routledge,2016,"Duffy, John Charles and Howlett, David J.",978-1-13-802047-4,,Religion & Theology - Christianity,"Mormonism: The Basics introduces the teachings, practices, evolution, and internal diversity of this movement, whose cultural icons range from Mitt Romney to the Twilight saga, from young male missionaries in white shirts and ties to polygamous women in pastel prairie dresses.",$115 ,TRUE,Live,,No Restrictions,No Restrictions,corp.credoreference.com/component/booktracker/edition/11918,11918
Preaching the Word: Numbers: God's Presence in the Wilderness,Crossway,Crossway,2012,"Duguid, Iain M.",978-1-4335-3548-2,Doody's Core Title,Religion & Theology - Christianity,"Author Iain Duguid aids both pastors and laypeople on this journey by explaining the profundities of the biblical text, especially its less transparent portions, and communicating the lasting message of Gods devotion to those who follow him in faith.",$52 ,FALSE,Live,,No Restrictions,No Restrictions,corp.credoreference.com/component/booktracker/edition/8034,8034
